"count","level_text"
167,"Applied computing"
17,"Applied computing+Arts and humanities"
10,"Applied computing+Computer forensics"
22,"Applied computing+Computers in other domains"
10,"Applied computing+Document management and text processing"
32,"Applied computing+Education"
19,"Applied computing+Electronic commerce"
21,"Applied computing+Enterprise computing"
42,"Applied computing+Law, social and behavioral sciences"
92,"Applied computing+Life and medical sciences"
65,"Applied computing+Operations research"
47,"Applied computing+Physical sciences and engineering"
122,"Computer systems organization"
171,"Computer systems organization+Architectures"
54,"Computer systems organization+Dependable and fault-tolerant systems and networks"
84,"Computer systems organization+Embedded and cyber-physical systems"
18,"Computer systems organization+Real-time systems"
572,"Computing methodologies"
765,"Computing methodologies+Artificial intelligence"
177,"Computing methodologies+Computer graphics"
11,"Computing methodologies+Distributed computing methodologies"
844,"Computing methodologies+Machine learning"
141,"Computing methodologies+Modeling and simulation"
38,"Computing methodologies+Parallel computing methodologies"
34,"Computing methodologies+Symbolic and algebraic manipulation"
66,"General and reference"
107,"General and reference+Cross-computing tools and techniques"
30,"General and reference+Document types"
105,"Hardware"
50,"Hardware+Communication hardware, interfaces and storage"
16,"Hardware+Electronic design automation"
32,"Hardware+Emerging technologies"
3,"Hardware+Hardware test"
7,"Hardware+Hardware validation"
25,"Hardware+Integrated circuits"
129,"Hardware+Power and energy"
14,"Hardware+Robustness"
5,"Hardware+Very large scale integration design"
174,"Human-centered computing"
9,"Human-centered computing+Accessibility"
38,"Human-centered computing+Collaborative and social computing"
172,"Human-centered computing+Human computer interaction (HCI)"
41,"Human-centered computing+Interaction design"
108,"Human-centered computing+Ubiquitous and mobile computing"
34,"Human-centered computing+Visualization"
429,"Information systems"
165,"Information systems+Data management systems"
534,"Information systems+Information retrieval"
19,"Information systems+Information storage systems"
490,"Information systems+Information systems applications"
261,"Information systems+World Wide Web"
55,"Mathematics of computing"
52,"Mathematics of computing+Discrete mathematics"
6,"Mathematics of computing+Information theory"
33,"Mathematics of computing+Mathematical analysis"
13,"Mathematics of computing+Mathematical software"
62,"Mathematics of computing+Probability and statistics"
160,"Networks"
58,"Networks+Network algorithms"
26,"Networks+Network architectures"
21,"Networks+Network components"
60,"Networks+Network performance evaluation"
60,"Networks+Network properties"
23,"Networks+Network protocols"
61,"Networks+Network services"
95,"Networks+Network types"
113,"Security and privacy"
27,"Security and privacy+Cryptography"
11,"Security and privacy+Database and storage security"
5,"Security and privacy+Formal methods and theory of security"
31,"Security and privacy+Human and societal aspects of security and privacy"
23,"Security and privacy+Intrusion/anomaly detection and malware mitigation"
20,"Security and privacy+Network security"
17,"Security and privacy+Security in hardware"
57,"Security and privacy+Security services"
37,"Security and privacy+Software and application security"
52,"Security and privacy+Systems security"
57,"Social and professional topics"
36,"Social and professional topics+Computing / technology policy"
113,"Social and professional topics+Professional topics"
16,"Social and professional topics+User characteristics"
124,"Software and its engineering"
249,"Software and its engineering+Software creation and management"
41,"Software and its engineering+Software notations and tools"
184,"Software and its engineering+Software organization and properties"
129,"Theory of computation"
2,"Theory of computation+Computational complexity and cryptography"
120,"Theory of computation+Design and analysis of algorithms"
2,"Theory of computation+Formal languages and automata theory"
12,"Theory of computation+Logic"
16,"Theory of computation+Models of computation"
12,"Theory of computation+Randomness, geometry and discrete structures"
3,"Theory of computation+Semantics and reasoning"
203,"Theory of computation+Theory and algorithms for application domains"
