"count","level_text","province_code"
97,"Applied computing",11
19,"Applied computing+Arts and humanities",11
1,"Applied computing+Computer forensics",11
10,"Applied computing+Computers in other domains",11
9,"Applied computing+Document management and text processing",11
18,"Applied computing+Education",11
10,"Applied computing+Electronic commerce",11
10,"Applied computing+Enterprise computing",11
30,"Applied computing+Law, social and behavioral sciences",11
68,"Applied computing+Life and medical sciences",11
21,"Applied computing+Operations research",11
23,"Applied computing+Physical sciences and engineering",11
83,"Computer systems organization",11
92,"Computer systems organization+Architectures",11
28,"Computer systems organization+Dependable and fault-tolerant systems and networks",11
66,"Computer systems organization+Embedded and cyber-physical systems",11
9,"Computer systems organization+Real-time systems",11
371,"Computing methodologies",11
561,"Computing methodologies+Artificial intelligence",11
149,"Computing methodologies+Computer graphics",11
3,"Computing methodologies+Distributed computing methodologies",11
558,"Computing methodologies+Machine learning",11
60,"Computing methodologies+Modeling and simulation",11
17,"Computing methodologies+Parallel computing methodologies",11
31,"Computing methodologies+Symbolic and algebraic manipulation",11
63,"General and reference",11
121,"General and reference+Cross-computing tools and techniques",11
14,"General and reference+Document types",11
96,"Hardware",11
51,"Hardware+Communication hardware, interfaces and storage",11
13,"Hardware+Electronic design automation",11
22,"Hardware+Emerging technologies",11
5,"Hardware+Hardware test",11
4,"Hardware+Hardware validation",11
53,"Hardware+Integrated circuits",11
108,"Hardware+Power and energy",11
2,"Hardware+Robustness",11
13,"Hardware+Very large scale integration design",11
106,"Human-centered computing",11
69,"Human-centered computing+Collaborative and social computing",11
90,"Human-centered computing+Human computer interaction (HCI)",11
11,"Human-centered computing+Interaction design",11
100,"Human-centered computing+Ubiquitous and mobile computing",11
13,"Human-centered computing+Visualization",11
322,"Information systems",11
145,"Information systems+Data management systems",11
447,"Information systems+Information retrieval",11
40,"Information systems+Information storage systems",11
361,"Information systems+Information systems applications",11
148,"Information systems+World Wide Web",11
36,"Mathematics of computing",11
28,"Mathematics of computing+Discrete mathematics",11
13,"Mathematics of computing+Information theory",11
27,"Mathematics of computing+Mathematical analysis",11
36,"Mathematics of computing+Probability and statistics",11
154,"Networks",11
49,"Networks+Network algorithms",11
26,"Networks+Network architectures",11
22,"Networks+Network components",11
55,"Networks+Network performance evaluation",11
41,"Networks+Network properties",11
32,"Networks+Network protocols",11
38,"Networks+Network services",11
154,"Networks+Network types",11
77,"Security and privacy",11
29,"Security and privacy+Cryptography",11
4,"Security and privacy+Database and storage security",11
8,"Security and privacy+Formal methods and theory of security",11
20,"Security and privacy+Human and societal aspects of security and privacy",11
20,"Security and privacy+Intrusion/anomaly detection and malware mitigation",11
16,"Security and privacy+Network security",11
19,"Security and privacy+Security in hardware",11
16,"Security and privacy+Security services",11
32,"Security and privacy+Software and application security",11
43,"Security and privacy+Systems security",11
51,"Social and professional topics",11
23,"Social and professional topics+Computing / technology policy",11
121,"Social and professional topics+Professional topics",11
7,"Social and professional topics+User characteristics",11
73,"Software and its engineering",11
104,"Software and its engineering+Software creation and management",11
31,"Software and its engineering+Software notations and tools",11
174,"Software and its engineering+Software organization and properties",11
111,"Theory of computation",11
7,"Theory of computation+Computational complexity and cryptography",11
125,"Theory of computation+Design and analysis of algorithms",11
1,"Theory of computation+Formal languages and automata theory",11
9,"Theory of computation+Logic",11
21,"Theory of computation+Models of computation",11
9,"Theory of computation+Randomness, geometry and discrete structures",11
15,"Theory of computation+Semantics and reasoning",11
123,"Theory of computation+Theory and algorithms for application domains",11
7,"Applied computing",12
2,"Applied computing+Arts and humanities",12
1,"Applied computing+Education",12
16,"Applied computing+Life and medical sciences",12
2,"Applied computing+Operations research",12
5,"Computer systems organization",12
8,"Computer systems organization+Architectures",12
1,"Computer systems organization+Dependable and fault-tolerant systems and networks",12
2,"Computer systems organization+Embedded and cyber-physical systems",12
24,"Computing methodologies",12
38,"Computing methodologies+Artificial intelligence",12
9,"Computing methodologies+Computer graphics",12
42,"Computing methodologies+Machine learning",12
1,"General and reference",12
2,"General and reference+Cross-computing tools and techniques",12
1,"Hardware",12
2,"Hardware+Emerging technologies",12
3,"Hardware+Integrated circuits",12
5,"Human-centered computing",12
3,"Human-centered computing+Collaborative and social computing",12
3,"Human-centered computing+Human computer interaction (HCI)",12
7,"Human-centered computing+Ubiquitous and mobile computing",12
2,"Human-centered computing+Visualization",12
16,"Information systems",12
10,"Information systems+Data management systems",12
20,"Information systems+Information retrieval",12
6,"Information systems+Information storage systems",12
17,"Information systems+Information systems applications",12
2,"Mathematics of computing",12
3,"Mathematics of computing+Discrete mathematics",12
1,"Mathematics of computing+Information theory",12
3,"Networks",12
2,"Networks+Network performance evaluation",12
2,"Networks+Network properties",12
2,"Networks+Network types",12
2,"Security and privacy",12
4,"Social and professional topics",12
4,"Social and professional topics+Computing / technology policy",12
3,"Social and professional topics+Professional topics",12
2,"Social and professional topics+User characteristics",12
5,"Software and its engineering",12
19,"Software and its engineering+Software organization and properties",12
7,"Theory of computation",12
5,"Theory of computation+Design and analysis of algorithms",12
1,"Theory of computation+Logic",12
2,"Theory of computation+Models of computation",12
3,"Theory of computation+Semantics and reasoning",12
15,"Theory of computation+Theory and algorithms for application domains",12
4,"Applied computing",13
3,"Applied computing+Arts and humanities",13
3,"Applied computing+Life and medical sciences",13
2,"Applied computing+Operations research",13
2,"Applied computing+Physical sciences and engineering",13
2,"Computer systems organization",13
2,"Computer systems organization+Dependable and fault-tolerant systems and networks",13
5,"Computer systems organization+Embedded and cyber-physical systems",13
1,"Computer systems organization+Real-time systems",13
6,"Computing methodologies",13
4,"Computing methodologies+Artificial intelligence",13
1,"Computing methodologies+Distributed computing methodologies",13
10,"Computing methodologies+Machine learning",13
5,"Computing methodologies+Modeling and simulation",13
1,"Hardware",13
3,"Hardware+Power and energy",13
1,"Human-centered computing",13
3,"Human-centered computing+Interaction design",13
4,"Information systems",13
3,"Information systems+Data management systems",13
4,"Information systems+Information retrieval",13
2,"Information systems+Information systems applications",13
1,"Mathematics of computing",13
3,"Mathematics of computing+Mathematical analysis",13
1,"Networks",13
2,"Networks+Network properties",13
1,"Social and professional topics",13
2,"Social and professional topics+Professional topics",13
2,"Theory of computation",13
1,"Theory of computation+Design and analysis of algorithms",13
3,"Theory of computation+Theory and algorithms for application domains",13
1,"Computing methodologies",14
3,"Computing methodologies+Machine learning",14
1,"Software and its engineering",14
4,"Software and its engineering+Software creation and management",14
1,"Theory of computation",14
3,"Theory of computation+Theory and algorithms for application domains",14
1,"General and reference",15
2,"General and reference+Cross-computing tools and techniques",15
2,"Hardware",15
4,"Hardware+Communication hardware, interfaces and storage",15
1,"Networks",15
3,"Networks+Network types",15
1,"Software and its engineering",15
3,"Software and its engineering+Software organization and properties",15
10,"Applied computing",21
2,"Applied computing+Education",21
2,"Applied computing+Electronic commerce",21
2,"Applied computing+Enterprise computing",21
2,"Applied computing+Law, social and behavioral sciences",21
16,"Applied computing+Life and medical sciences",21
1,"Applied computing+Operations research",21
4,"Applied computing+Physical sciences and engineering",21
6,"Computer systems organization",21
3,"Computer systems organization+Architectures",21
6,"Computer systems organization+Dependable and fault-tolerant systems and networks",21
13,"Computer systems organization+Embedded and cyber-physical systems",21
18,"Computing methodologies",21
21,"Computing methodologies+Artificial intelligence",21
6,"Computing methodologies+Computer graphics",21
18,"Computing methodologies+Machine learning",21
8,"Computing methodologies+Modeling and simulation",21
2,"General and reference",21
6,"General and reference+Cross-computing tools and techniques",21
1,"Hardware",21
2,"Hardware+Communication hardware, interfaces and storage",21
5,"Human-centered computing",21
2,"Human-centered computing+Collaborative and social computing",21
2,"Human-centered computing+Interaction design",21
13,"Human-centered computing+Ubiquitous and mobile computing",21
15,"Information systems",21
11,"Information systems+Data management systems",21
19,"Information systems+Information retrieval",21
24,"Information systems+Information systems applications",21
3,"Information systems+World Wide Web",21
1,"Mathematics of computing",21
2,"Mathematics of computing+Mathematical analysis",21
18,"Networks",21
13,"Networks+Network algorithms",21
4,"Networks+Network architectures",21
4,"Networks+Network components",21
3,"Networks+Network performance evaluation",21
6,"Networks+Network properties",21
3,"Networks+Network protocols",21
14,"Networks+Network types",21
2,"Security and privacy",21
1,"Security and privacy+Cryptography",21
2,"Security and privacy+Human and societal aspects of security and privacy",21
2,"Software and its engineering",21
4,"Software and its engineering+Software creation and management",21
4,"Software and its engineering+Software organization and properties",21
2,"Theory of computation",21
1,"Theory of computation+Computational complexity and cryptography",21
3,"Theory of computation+Design and analysis of algorithms",21
4,"Applied computing",22
1,"Applied computing+Education",22
2,"Applied computing+Electronic commerce",22
4,"Applied computing+Life and medical sciences",22
2,"Applied computing+Physical sciences and engineering",22
2,"Computer systems organization",22
6,"Computer systems organization+Embedded and cyber-physical systems",22
6,"Computing methodologies",22
6,"Computing methodologies+Artificial intelligence",22
8,"Computing methodologies+Machine learning",22
6,"Computing methodologies+Modeling and simulation",22
3,"Hardware",22
4,"Hardware+Communication hardware, interfaces and storage",22
2,"Hardware+Electronic design automation",22
2,"Human-centered computing",22
3,"Human-centered computing+Collaborative and social computing",22
1,"Human-centered computing+Human computer interaction (HCI)",22
1,"Information systems",22
3,"Information systems+Information retrieval",22
2,"Mathematics of computing",22
3,"Mathematics of computing+Discrete mathematics",22
3,"Mathematics of computing+Mathematical analysis",22
2,"Networks",22
2,"Networks+Network performance evaluation",22
4,"Networks+Network types",22
1,"Social and professional topics",22
2,"Social and professional topics+Professional topics",22
2,"Software and its engineering",22
3,"Software and its engineering+Software creation and management",22
7,"Software and its engineering+Software organization and properties",22
5,"Theory of computation",22
3,"Theory of computation+Computational complexity and cryptography",22
3,"Theory of computation+Design and analysis of algorithms",22
4,"Theory of computation+Logic",22
6,"Theory of computation+Theory and algorithms for application domains",22
4,"Applied computing",23
9,"Applied computing+Life and medical sciences",23
2,"Applied computing+Operations research",23
5,"Computer systems organization",23
3,"Computer systems organization+Dependable and fault-tolerant systems and networks",23
9,"Computer systems organization+Embedded and cyber-physical systems",23
18,"Computing methodologies",23
37,"Computing methodologies+Artificial intelligence",23
9,"Computing methodologies+Machine learning",23
9,"Computing methodologies+Modeling and simulation",23
3,"Computing methodologies+Symbolic and algebraic manipulation",23
5,"General and reference",23
8,"General and reference+Cross-computing tools and techniques",23
4,"General and reference+Document types",23
9,"Hardware",23
4,"Hardware+Communication hardware, interfaces and storage",23
8,"Hardware+Emerging technologies",23
8,"Hardware+Integrated circuits",23
15,"Hardware+Power and energy",23
2,"Hardware+Printed circuit boards",23
5,"Human-centered computing",23
5,"Human-centered computing+Collaborative and social computing",23
4,"Human-centered computing+Human computer interaction (HCI)",23
2,"Human-centered computing+Interaction design",23
11,"Information systems",23
26,"Information systems+Data management systems",23
11,"Information systems+Information systems applications",23
11,"Information systems+World Wide Web",23
11,"Networks",23
1,"Networks+Network algorithms",23
2,"Networks+Network performance evaluation",23
2,"Networks+Network properties",23
5,"Networks+Network protocols",23
2,"Networks+Network services",23
11,"Networks+Network types",23
4,"Security and privacy",23
1,"Security and privacy+Cryptography",23
6,"Security and privacy+Security services",23
4,"Social and professional topics",23
3,"Social and professional topics+Computing / technology policy",23
8,"Social and professional topics+Professional topics",23
6,"Software and its engineering",23
7,"Software and its engineering+Software creation and management",23
3,"Software and its engineering+Software notations and tools",23
