province_code,count,name
11,2057,Beijing
12,171,Tianjin
13,46,Hebei
14,17,Shanxi
15,25,Inner Mongolia
21,134,Liaoning
22,69,Jilin
23,167,Heilongjiang
31,810,Shanghai
32,624,Jiangsu
33,454,Zhejiang
34,315,Anhui
35,87,Fujian
36,28,Jiangxi
37,257,Shandong
41,83,Henan
42,491,Hubei
43,290,Hunan
44,613,Guangdong
45,139,Guangxi
46,12,Hainan
50,128,Chongqing
51,319,Sichuan
52,23,Guizhou
53,30,Yunnan
54,5,Tibet
61,360,Shaanxi
62,154,Gansu
63,10,Qinghai
64,94,Ningxia
65,15,Xinjiang
71,612,Taiwan
81,532,Hongkong
82,37,Macao
